greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,water_potential_bar,water_potential_mpa,osmotic_potential_mmol.kg-1,osmotic_potential_mpa,obs
D,ACY,5W,DACY5W,09/03/2020,2,15,47,ambient,R+,14.1,-1.41,568,-1.3813192,
D,CAL,2W,DCAL2W,12/03/2020,2,18,50,ambient,R-,15.1,-1.51,484,-1.1770396,
D,CAL,3W,DCAL3W,12/03/2020,2,18,50,ambient,R-,11.6,-1.16,539,-1.3107941,
D,CAL,4W,DCAL4W,12/03/2020,2,18,50,ambient,R-,15.1,-1.51,569,-1.3837511,
D,CAL,5W,DCAL5W,12/03/2020,2,18,50,ambient,R-,10.8,-1.08,594,-1.4445486,
D,CAL,3D,DCAL3D,12/03/2020,2,18,50,ambient,R-,13.1,-1.31,637,-1.5491203,
D,ROF,1W,DROF1W,10/03/2020,2,16,48,ambient,R-,10.3,-1.03,524,-1.2743156,
D,ROF,2W,DROF2W,10/03/2020,2,16,48,ambient,R-,11.8,-1.18,679,-1.6512601,
D,ROF,3W,DROF3W,10/03/2020,2,16,48,ambient,R-,17.1,-1.71,720,-1.750968,
D,ROF,4W,DROF4W,10/03/2020,2,16,48,ambient,R-,9.7,-0.97,528,-1.2840432,
D,ROF,2D,DROF2D,10/03/2020,2,16,48,ambient,R-,10.1,-1.01,580,-1.410502,
D,LST,1W,DLST1W,13/03/2020,2,19,51,ambient,R-,8.4,-0.84,528,-1.2840432,
D,LST,2W,DLST2W,13/03/2020,2,19,51,ambient,R-,15.5,-1.55,634,-1.5418246,
D,LST,3D,DLST3D,13/03/2020,2,19,51,ambient,R-,13.4,-1.34,633,-1.5393927,
D,LST,4D,DLST4D,13/03/2020,2,19,51,ambient,R-,16.6,-1.66,703,-1.7096257,
D,LST,2D,DLST2D,13/03/2020,2,19,51,ambient,R-,12.5,-1.25,600,-1.45914,(e)
D,DPE,1W,DDPE1W,11/03/2020,2,13,49,ambient,R+,20,-2,713,-1.7339447,
D,DPE,2W,DDPE2W,11/03/2020,2,13,49,ambient,R+,18.9,-1.89,684,-1.6634196,
D,DPE,3W,DDPE3W,11/03/2020,2,13,49,ambient,R+,20.4,-2.04,702,-1.7071938,
D,DPE,1D,DDPE1D,11/03/2020,2,13,49,ambient,R+,21.2,-2.12,879,-2.1376401,
E,ACY,1W,EACY1W,09/03/2020,2,15,47,ambient,R+,20.7,-2.07,756,-1.8385164,
E,ACY,2W,EACY2W,09/03/2020,2,15,47,ambient,R+,13.5,-1.35,562,-1.3667278,
E,ACY,3W,EACY3W,09/03/2020,2,15,47,ambient,R+,17.4,-1.74,574,-1.3959106,
E,ACY,5W,EACY5W,09/03/2020,2,15,47,ambient,R+,17.7,-1.77,596,-1.4494124,
E,CAL,1W,ECAL1W,12/03/2020,2,18,50,ambient,R-,13.2,-1.32,687,-1.6707153,
E,CAL,2W,ECAL2W,12/03/2020,2,18,50,ambient,R-,13.6,-1.36,598,-1.4542762,
E,CAL,3W,ECAL3W,12/03/2020,2,18,50,ambient,R-,11.3,-1.13,528,-1.2840432,
E,CAL,4W,ECAL4W,12/03/2020,2,18,50,ambient,R-,13.6,-1.36,526,-1.2791794,
E,CAL,5W,ECAL5W,12/03/2020,2,18,50,ambient,R-,11,-1.1,618,-1.5029142,
E,ROF,1W,EROF1W,10/03/2020,2,16,48,ambient,R-,9.6,-0.96,673,-1.6366687,
E,ROF,2W,EROF2W,10/03/2020,2,16,48,ambient,R-,12,-1.2,623,-1.5150737,
E,ROF,3W,EROF3W,10/03/2020,2,16,48,ambient,R-,12.1,-1.21,673,-1.6366687,
E,ROF,4W,EROF4W,10/03/2020,2,16,48,ambient,R-,9,-0.9,518,-1.2597242,
E,ROF,5W,EROF5W,10/03/2020,2,16,48,ambient,R-,9.9,-0.99,574,-1.3959106,
E,LST,1W,ELST1W,13/03/2020,2,19,51,ambient,R-,15.8,-1.58,542,-1.3180898,
E,LST,4W,ELST4W,13/03/2020,2,19,51,ambient,R-,10.4,-1.04,536,-1.3034984,
E,LST,1D,ELST1D,13/03/2020,2,19,51,ambient,R-,17.8,-1.78,660,-1.605054,
E,DPE,1W,EDPE1W,11/03/2020,2,13,49,ambient,R+,28,-2.8,,,*solid sap osm.
E,DPE,2W,EDPE2W,11/03/2020,2,13,49,ambient,R+,20.8,-2.08,666,-1.6196454,
