greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,length_main_root_cm,diameter_top_mainroot_mm,fresh_weight_soil_bucketplus2.12kg,fresh_weight_allpotsoil_g,estim_dryweight_allpot_g,pot_bulk_density_g/cm3,soil_freshweight_1liter,soil_dryweight_1liter,grav_swc_perc,grav_swc (g/g),bulk_density_ (g/cm3) ,vol_swc_perc,vol_swc(cm3/cm3),ysoil_bc(kpa),total_leaves_dryweight_bag,total_stem_dryweight_bag,main_roots_dryweight_bag,fine_roots_dryweight_bag,observations..a...or.2.circled.next.to.the.number.means.2.bags..M.means.brown.bag..maron...N.new.bag.larger,"normal:2.975,2x normal.white.bag:5.950g,N.white.bag.new.larger:7.051.g.M.brown.bag.large:20.546g",bag_weight_leaves,bag_weight_stem,bag_weight_mainroots,bag_weight_fineroots,leaves_biomass,stems_biomass,main_roots_biomass,fine_roots_biomass,total_aboveground_biomass,total_belowground_biomass,root_shoot_ratio
C,DPE,2W,CDPE2W,12/4/20,3,16,81,elevated,R+,55,5.21,7.6,5480,4848.876,0.485,794,712,11.51685393,0.115168539,0.712,8.2,0.082,-626.4398474,9.988,20.648,7.262,6.179,,,2.975,2.975,2.975,2.975,7.013,17.673,4.287,3.204,24.686,7.491,0.303451349
C,DPE,3W,CDPE3W,12/4/20,3,16,81,elevated,R+,82,7.12,7.2,5080,3805.279,0.381,673,538,25.0929368,0.250929368,0.538,13.5,0.135,-119.9819326,11.874,33.083,9.514,7.4,,,2.975,2.975,2.975,2.975,8.899,30.108,6.539,4.425,39.007,10.964,0.281077755
C,DPE,2D,CDPE2D,12/4/20,3,16,81,elevated,R+,43,5.92,7.7,5580,5272.967,0.527,882,836,5.502392344,0.055023923,0.836,4.6,0.046,-4257.259112,10.561,25.683,8.702,7.603,,,2.975,2.975,2.975,2.975,7.586,22.708,5.727,4.628,30.294,10.355,0.341816861
D,ACY,1W,DACY1W,10/4/20,3,14,79,ambient,R+,55,9.25,7.6,5480,5016.697,0.502,821,757,8.454425363,0.084544254,0.757,6.4,0.064,-1424.576192,15.133,30.587,12.497,7.211,,,2.975,2.975,2.975,2.975,12.158,27.612,9.522,4.236,39.77,13.758,0.34593915
D,ACY,2W,DACY2W,10/4/20,3,14,79,ambient,R+,47,7.64,7.6,5480,4722.128,0.472,749,658,13.82978723,0.138297872,0.658,9.1,0.091,-443.5576565,13.286,19.64,8.436,6.507,,,2.975,2.975,2.975,2.975,10.311,16.665,5.461,3.532,26.976,8.993,0.333370403
D,ACY,3W,DACY3W,10/4/20,3,14,79,ambient,R+,66,8.66,7.7,5580,5178.079,0.518,893,833,7.202881152,0.072028812,0.833,6,0.06,-1764.415648,16.487,40.824,14.448,7.429,,,2.975,2.975,2.975,2.975,13.512,37.849,11.473,4.454,51.361,15.927,0.310099102
D,ACY,4W,DACY4W,10/4/20,3,14,79,ambient,R+,73,10.4,7.9,5780,5317.297,0.532,823,762,8.005249344,0.080052493,0.762,6.1,0.061,-1670.336197,13.9,51.588,15.309,8.021,,,2.975,2.975,2.975,2.975,10.925,48.613,12.334,5.046,59.538,17.38,0.291914408
D,ACY,5W,DACY5W,10/4/20,3,14,79,ambient,R+,41,5.69,7.4,5280,3559.774,0.356,704,531,32.58003766,0.325800377,0.531,17.3,0.173,-52.72899136,9.693,16.719,6.827,6.121,,,2.975,2.975,2.975,2.975,6.718,13.744,3.852,3.146,20.462,6.998,0.341999805
D,CAL,2W,DCAL2W,11/4/20,3,15,80,ambient,R-,53,6.42,7.5,5380,4764.492,0.476,789,708,11.44067797,0.11440678,0.708,8.1,0.081,-652.4458276,24.294,24.727,8.985,9.28,fine roots N,,2.975,2.975,2.975,7.051,21.319,21.752,6.01,2.229,43.071,8.239,0.191288802
D,CAL,3W,DCAL3W,11/4/20,3,15,80,ambient,R-,63,8.44,7.5,5380,4484.547,0.448,862,739,16.64411367,0.166441137,0.739,12.3,0.123,-163.3566623,17.056,24.438,11.995,10.007,fine roots N,,2.975,2.975,2.975,7.051,14.081,21.463,9.02,2.956,35.544,11.976,0.336934504
